Name,Title,Year,DOI,PMID,Journal,Link
Basilio Gonalves,Effects of reciprocal inhibition and whole-body relaxation on persistent inward currents estimated by two different methods.,Effects of reciprocal inhibition and whole-body relaxation on persistent inward currents estimated by two different methods.,,
Basilio Gonalves,"Impact of prior anterior cruciate ligament, hamstring or groin injury on lower limb strength and jump kinetics in elite female footballers.","Impact of prior anterior cruciate ligament, hamstring or groin injury on lower limb strength and jump kinetics in elite female footballers.",,
Basilio Gonalves,The Deep Hip Muscles are Unlikely to Stabilize the Hip in the Sagittal Plane During Walking: A Joint Stiffness Approach.,The Deep Hip Muscles are Unlikely to Stabilize the Hip in the Sagittal Plane During Walking: A Joint Stiffness Approach.,,
Basilio Gonalves,Unilateral Maximal Isometric Hex Bar Pull Test: Within-Session Reliability and Lower Body Force Production in Male and Female Freeski Athletes.,Unilateral Maximal Isometric Hex Bar Pull Test: Within-Session Reliability and Lower Body Force Production in Male and Female Freeski Athletes.,,
Basilio Gonalves,Reliability of hip muscle strength measured in principal and intermediate planes of movement.,Reliability of hip muscle strength measured in principal and intermediate planes of movement.,,
Basilio Gonalves,"Repeated sprints alter mechanical work done by hip and knee, but not ankle, sagittal moments.","Repeated sprints alter mechanical work done by hip and knee, but not ankle, sagittal moments.",,
Basilio Gonalves,Reliability and Validity of Ultrasonography for Measurement of Hamstring Muscle and Tendon Cross-Sectional Area.,Reliability and Validity of Ultrasonography for Measurement of Hamstring Muscle and Tendon Cross-Sectional Area.,,
Basilio Gonalves,Individual Region- and Muscle-specific Hamstring Activity at Different Running Speeds.,Individual Region- and Muscle-specific Hamstring Activity at Different Running Speeds.,,
Antonio Veloso,Responsiveness of the Calf-Raise Senior test in community-dwelling older adults undergoing an exercise intervention program.,Responsiveness of the Calf-Raise Senior test in community-dwelling older adults undergoing an exercise intervention program.,,
Antonio Veloso,"Calf-raise senior: a new test for assessment of plantar flexor muscle strength in older adults: protocol, validity, and reliability.","Calf-raise senior: a new test for assessment of plantar flexor muscle strength in older adults: protocol, validity, and reliability.",,
Antonio Veloso,Effect of 6-month community-based exercise interventions on gait and functional fitness of an older population: a quasi-experimental study.,Effect of 6-month community-based exercise interventions on gait and functional fitness of an older population: a quasi-experimental study.,,
